"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,68,"10001, 10118","6 months - 17 years",1400,2053.05,"2020 - 21","Q2","Flu",
"Chinatown/Lower East Side",10002,71,"10002","6 months - 17 years",7763,10956.09,"2020 - 21","Q2","Flu",
"East Village/Gramercy/Greenwich Village",10003,68,"10003","6 months - 17 years",2336,3456.41,"2020 - 21","Q2","Flu",
"Financial District",10004,96,"10004","6 months - 17 years",402,420.09,"2020 - 21","Q2","Flu",
"Financial District",10005,99,"10005","6 months - 17 years",577,532.93,"2020 - 21","Q2","Flu",
"Financial District",10006,99,"10006","6 months - 17 years",268,220.71,"2020 - 21","Q2","Flu",
"TriBeCa",10007,88,"10007","6 months - 17 years",1093,1241.59,"2020 - 21","Q2","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,52,"10009","6 months - 17 years",3310,6418.56,"2020 - 21","Q2","Flu",
"Flatiron/Gramercy/Kips Bay",10010,92,"10010","6 months - 17 years",2340,2539.67,"2020 - 21","Q2","Flu",
"Chelsea",10011,63,"10011","6 months - 17 years",2841,4487.96,"2020 - 21","Q2","Flu",
"Greenwich Village/SoHo",10012,57,"10012","6 months - 17 years",1112,1937.23,"2020 - 21","Q2","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,80,"10013","6 months - 17 years",3280,4085.99,"2020 - 21","Q2","Flu",
"Hudson Square/Meatpacking District/West Village",10014,59,"10014","6 months - 17 years",1462,2496.72,"2020 - 21","Q2","Flu",
"Kips Bay/Murray Hill/NoMad",10016,83,"10016","6 months - 17 years",3223,3881.21,"2020 - 21","Q2","Flu",
"East Midtown/Murray Hill",10017,99,"10017","6 months - 17 years",998,1005.61,"2020 - 21","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,86,"10018","6 months - 17 years",413,479.95,"2020 - 21","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,78,"10019, 10020","6 months - 17 years",2390,3065.32,"2020 - 21","Q2","Flu",
"Lenox Hill/Upper East Side",10021,76,"10021","6 months - 17 years",3897,5123.74,"2020 - 21","Q2","Flu",
"East Midtown",10022,84,"10022","6 months - 17 years",2353,2815.5,"2020 - 21","Q2","Flu",
"Lincoln Square",10023,70,"10023","6 months - 17 years",5740,8213.94,"2020 - 21","Q2","Flu",
"Upper West Side",10024,63,"10024","6 months - 17 years",6136,9799.47,"2020 - 21","Q2","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,55,"10025","6 months - 17 years",7261,13208.67,"2020 - 21","Q2","Flu",
"Central Harlem (South)",10026,49,"10026","6 months - 17 years",3279,6748.17,"2020 - 21","Q2","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,46,"10027","6 months - 17 years",4746,10355.14,"2020 - 21","Q2","Flu",
"Upper East Side/Yorkville",10028,61,"10028","6 months - 17 years",4210,6860.81,"2020 - 21","Q2","Flu",
"East Harlem",10029,55,"10029","6 months - 17 years",7786,14096.55,"2020 - 21","Q2","Flu",
